state,crop,N,P,K,ph,rainfall_2025_mm,temp_2025_C,pesticide_2025_kg_ha,yield_2025_t_ha
Madhya Pradesh,soybean,57.77,37.31,21.02,7.46,718.99,20.87,0.61,1.892
Meghalaya,mango,61.94,46.34,145.12,7.03,1154.57,30.91,1.151,9.938
West Bengal,soybean,47.58,47.07,41.54,6.07,782.72,22.95,0.092,3.091
Kerala,tea,42.46,25.85,50.55,4.66,2517.62,20.49,0.346,3.439
Madhya Pradesh,tea,53.17,33.57,31.93,5.17,2897.58,22.15,0.72,3.067
Manipur,cotton,90.27,35.38,60.3,6.29,1081.87,34.75,0.57,1.585
Uttarakhand,maize,69.05,29.4,37.18,6.99,438.75,31.8,0.645,3.331
Arunachal Pradesh,mango,78.34,48.74,54.97,6.83,1327.14,27.39,0.553,10.905
Chhattisgarh,sugarcane,174.13,70.3,92.34,6.73,1561.28,22.91,2.431,85.553
Meghalaya,sugarcane,132.17,75.95,136.63,6.58,975.29,24.17,2.298,71.765
Uttar Pradesh,maize,71.3,39.11,38.44,6.6,380.15,27.66,0.63,3.977
Uttarakhand,maize,66.13,26.92,22.68,6.07,691.31,19.17,0.709,5.638
Uttar Pradesh,soybean,23.87,57.57,31.26,7.33,480.56,30,0.189,1.249
Meghalaya,banana,179.05,41.04,312.29,6.81,1376.27,29.98,1.23,29.126
Sikkim,banana,181.52,61.04,339.58,6.87,2359.85,29.25,1.503,35.666
West Bengal,soybean,30.44,53.12,33.34,6.7,696.92,23.69,0.476,1.343
Karnataka,pulses,20.2,21.11,37.13,7.87,528.06,26.7,0.272,1.195
Punjab,wheat,62.43,54.14,33.33,6.69,371.82,13.03,0.414,2.171
Jharkhand,pulses,11.36,21.52,19.05,6.45,542.95,29.95,0.116,1.539
Assam,wheat,77.88,35.61,27.47,7.35,546.36,18.1,0.733,4.552
Bihar,tomato,121.79,75.77,144.96,6.43,1252.48,29.84,0.801,64.843
Odisha,coffee,47.41,40.42,55.61,5.65,2697.94,19.66,0.84,2.926
Arunachal Pradesh,millet,25.3,10.25,37.3,7.32,442.68,26.67,0.246,1.544
Gujarat,mango,81.13,57.73,133.74,5.85,910,21.68,0.546,12.497
Mizoram,cotton,90.7,41.52,44.94,7.71,328.89,29.68,0.585,0.875
Arunachal Pradesh,sugarcane,147.55,58.43,131.9,6.51,1466.54,21.33,2.608,76.129
Punjab,tomato,129.23,79.54,98.97,6.02,962.54,26.18,3.785,35.321
Haryana,maize,61.79,45.43,47.76,5.72,717.82,25.33,0.274,3.562
Bihar,tea,54.94,21.61,34.25,5.52,2389.05,16.62,0.863,2.497
Odisha,pulses,26.59,20.86,12.37,6.67,257.5,25.56,0.196,1.343
Rajasthan,rice,92.02,59.88,38.99,5.62,910.81,29.23,0.415,4.494
Arunachal Pradesh,banana,159.35,92.19,294.04,5.52,1558.53,24.03,1.651,38.873
Mizoram,wheat,61.47,37.54,49.23,7.8,475.03,14.73,0.878,2.536
Rajasthan,groundnut,32.39,39,60.03,6.86,610.34,28.8,0.666,1.718
Mizoram,banana,213.53,76.27,359.81,6.83,1518.11,27.96,0.844,32.427
Tripura,wheat,62.39,53.28,35.32,6,681.47,17.07,0.241,3.932
Tripura,mango,75.95,48.19,131.26,6.94,1147.1,28.18,0.682,10.838
Karnataka,coffee,62.14,45.13,30.61,5.7,2618.03,24.7,0.567,1.579
Kerala,banana,215.62,75.14,215.57,5.76,1708.12,31.13,1.063,41.304
Andhra Pradesh,millet,40.35,22.42,25.98,6.46,432.41,28.62,0.261,0.899
Tripura,coffee,40.89,44.86,57.57,6.23,1973.99,27.85,0.648,1.87
Bihar,rice,84.96,52.76,34.44,5.35,800.31,24.76,0.467,4.721
Maharashtra,soybean,47.31,58.88,34.98,6.75,408.89,21.59,0.443,1.534
Andhra Pradesh,tomato,101.9,54.3,89.74,5.95,946.39,19.28,1.292,78.704
Nagaland,maize,75.42,46.23,25.43,6.33,462.89,19.9,0.642,2.773
Tripura,millet,22.9,28.02,19.13,6.08,370.52,25.74,0.164,1.849
Telangana,millet,25.88,19.68,13.44,7.31,265.01,28.32,0.11,0.64
Punjab,tea,46.39,28.97,41.73,4.56,2597.83,20.8,0.3,3.384
Karnataka,groundnut,41.78,24.78,53.97,6.08,645.71,26.9,0.512,2.785
Meghalaya,rice,70.03,36.43,51.71,5.14,1849.51,24.2,0.414,5.399
Manipur,millet,46.23,12.54,11.5,7.48,238.51,30.96,0.249,1.7
Himachal Pradesh,tea,49.4,38,41.48,5.54,4044.29,15.81,0.58,3.265
Karnataka,pulses,28.93,33.77,37.58,6.23,367.18,25.92,0.134,1.099
Arunachal Pradesh,tomato,95.25,47.01,103.11,6.54,817.26,24.84,2.093,61.889
Chhattisgarh,potato,193.58,83.09,241.87,5.17,1490.13,15.98,1.535,39.763
Punjab,maize,72.3,37.93,26.52,5.93,457.14,22.31,0.495,5.33
Tamil Nadu,rice,81.04,44.06,53.26,6.27,2156.03,24.33,0.735,4.576
Tamil Nadu,soybean,44.61,45.93,26.63,7.07,649.55,24.81,0.213,2.055
West Bengal,pulses,18.12,40.5,19.16,6.69,521.42,25.24,0.04,1.084
Jharkhand,mango,89.11,34.75,136.97,7.49,1188.12,30.82,1.309,25.902
Chhattisgarh,tomato,108.91,70.87,103.2,6.34,657.68,18.81,2.171,25.518
Sikkim,soybean,52.44,45.48,31.73,6.88,340.85,25.56,0.508,2.139
Madhya Pradesh,potato,196.05,88.82,184.36,5.4,768.38,24.34,1.175,27.341
Bihar,coffee,67.49,42.37,66.75,6.04,1906.63,23.77,0.866,1.532
Andhra Pradesh,maize,74.59,34.43,24.18,6.03,874.62,20.29,0.259,4.24
Tamil Nadu,potato,153.81,61.49,160.64,6.41,1443.96,13.46,0.441,46.557
Assam,tomato,128.49,47.18,142.4,5.52,913.28,27.86,1.648,30.543
Jharkhand,banana,209.19,73.93,337.55,5.86,2515.71,21.93,1.232,49.087
Madhya Pradesh,potato,177.5,48.5,194.08,5.62,1234.88,24.82,1.386,28.342
West Bengal,wheat,77.69,48.33,34.96,6.91,540.63,11.71,0.802,5.312
Uttar Pradesh,sugarcane,167.12,82.18,121.35,6.26,909.34,28.24,1.623,59.597
Tamil Nadu,soybean,35.37,31.36,33.24,7.11,563.08,25.49,0.392,1.452
Telangana,potato,193.7,74.22,156.89,6.02,810.71,21.7,1.169,28.164
Tamil Nadu,potato,143.9,43.62,139.49,5.53,879.91,17.05,0.599,36.041
Arunachal Pradesh,soybean,53.8,43.95,21.53,7.19,506.98,28.73,0.426,1.173
Haryana,maize,51.68,25.3,48.76,6.04,494.46,27.05,0.282,5.055
Haryana,banana,247.82,79.69,358.27,5.93,1506.53,24.8,1.781,28.23
Jharkhand,mango,68.37,35.35,70.98,7.04,1048.03,33.12,0.867,13.531
Punjab,mango,99.58,59.33,70.23,5.87,1331.14,33.31,0.712,21.421
Haryana,rice,81.19,44.29,36.41,6.74,1674.26,26.02,0.452,3.531
Bihar,maize,78.2,37.43,46,6.31,815.5,20.4,0.492,5.491
Maharashtra,sugarcane,162.58,88.34,136.8,6.06,1435.66,20.2,1.415,81.865
Madhya Pradesh,groundnut,44.61,25.52,62.09,5.91,506.81,29.02,0.408,1.167
Karnataka,tomato,143.6,51.28,128.59,6.09,959.01,28.65,2.096,23.381
Gujarat,potato,128.62,51.9,127.45,5.6,1038.6,14.7,0.812,31.168
Bihar,groundnut,48.08,23.48,66.4,6.68,519.99,24.1,0.277,1.121
Haryana,banana,177.09,62.55,210.45,6.56,1292.49,28.07,0.683,26.53
Punjab,tea,51.25,32.28,54.18,5.53,2231.85,15.34,0.597,3.073
Maharashtra,cotton,74.44,46.48,95.16,7.24,580.33,29.74,1.424,0.645
Haryana,sugarcane,136.08,52.39,96.62,7.18,1076.83,23.79,1.995,78.596
Bihar,wheat,81.6,42.9,38.42,6.48,296.5,13.01,0.495,2.381
Andhra Pradesh,sugarcane,136.16,67.2,119.32,6.04,1105.98,23.03,0.925,67.629
Arunachal Pradesh,tea,45.8,36.78,45.64,5.27,1694.94,21.49,0.952,2.635
Madhya Pradesh,potato,147.95,79.15,207.92,5.43,1152.43,17.29,1.412,16.092
Manipur,tomato,115.37,79.82,84.59,5.69,903.36,23.33,3.017,43.241
Arunachal Pradesh,maize,62.42,28.74,29.76,7.34,726,27.46,0.746,6.052
Haryana,sugarcane,174.78,76.58,119.12,7.23,1138.43,27.34,0.979,95.299
Kerala,soybean,39.27,33.8,31.66,6.72,570.76,25.59,0.484,2.312
Jharkhand,groundnut,34.47,36.74,73.72,7.45,756.91,35.14,0.595,1.927
Madhya Pradesh,rice,73.11,48.39,44.65,5.08,1130.03,25.37,0.654,5.588
Andhra Pradesh,wheat,79.57,47.33,38.78,6.74,389.59,18.3,0.224,2.24
Himachal Pradesh,cotton,82.49,38.72,41.42,7.78,687.49,34.81,1.195,1.424
Kerala,cotton,96.3,35.54,87.84,6.32,737.75,27.6,1.381,0.992
Arunachal Pradesh,sugarcane,156.01,74.45,112.66,6.91,1400.5,26.71,0.997,89.321
Mizoram,wheat,73.39,35.92,26.95,7.29,682.23,21.15,0.436,4.43
Andhra Pradesh,soybean,57.56,46.11,43.61,6.75,668.83,24.25,0.42,1.359
Bihar,mango,75.48,31.96,66.88,6.95,1078.4,34.67,1.069,26.186
West Bengal,sugarcane,122.37,64.31,117.3,6.86,1158.18,26.67,2.655,71.636
Arunachal Pradesh,potato,132.58,78.85,167.57,5.38,534.13,22.98,0.571,13.079
Karnataka,wheat,87.88,51.52,43.72,6.25,384.79,20.11,0.796,2.202
Rajasthan,banana,219.37,41.78,215.8,6.84,1221.01,21.99,0.929,18.409
Uttar Pradesh,maize,66.74,48.29,37.3,5.84,803.96,23.3,0.747,5.841
Odisha,pulses,14.49,42.35,27.71,6.02,727.4,26.23,0.176,1.717
Odisha,tomato,88.28,60.32,141.43,6.12,734.22,21.77,1.493,41.408
Goa,millet,37.86,23.69,36.53,7.19,458.11,27,0.067,1.182
Madhya Pradesh,pulses,32.71,43.56,36.54,7.92,558.63,27.37,0.115,0.672
Karnataka,wheat,98.81,52.77,21.1,7.33,740.82,11.59,0.695,3.108
Punjab,banana,183.84,91.29,381.66,6.03,1895.11,26.14,0.929,19.122
Mizoram,sugarcane,120.1,88.33,129.71,6.29,1630.46,25.67,2.597,65.998
Himachal Pradesh,potato,158.74,69.87,147.38,5.13,727.64,12.34,1.254,18.741
Jharkhand,soybean,22.77,40.92,25.43,7.17,540.94,22.73,0.546,1.55
Kerala,tea,57.33,26.16,37.97,4.87,2158.75,23.43,0.86,2.789
Meghalaya,sugarcane,177.38,68.66,86.15,6.76,1145.49,26,1.971,76.067
Andhra Pradesh,tomato,157.38,59.26,121.33,6.66,657.71,19.4,1.768,19.705
West Bengal,tomato,138.11,52.99,138.5,6.65,905.86,25.52,1.653,54.215
Uttarakhand,mango,78.44,54,81.97,6.02,754.93,21.47,0.312,8.972
Kerala,tea,40.04,21.46,33.42,5.99,4431.33,16.56,0.736,2.967
Jharkhand,mango,107.34,30.99,130.53,5.63,966.3,22.05,0.76,18.389
Sikkim,pulses,27.18,43.65,38.19,6.28,776.23,25.33,0.221,1.573
Telangana,millet,44.09,13.4,19.74,6.39,353.08,31.29,0.257,1.302
Madhya Pradesh,sugarcane,167.92,76.4,95.71,7.01,1020.68,30.41,1.698,74.39
Meghalaya,pulses,17.41,25.16,16.45,7.6,552.33,25.33,0.067,0.656
Arunachal Pradesh,tea,56.33,26.94,44.49,4.57,2077.04,17.63,1.098,2.293
Arunachal Pradesh,sugarcane,146.39,51.85,94.3,6.06,681.18,27.93,1.553,75.91
Arunachal Pradesh,rice,92.5,31.87,34.31,5.86,1186.45,25.73,1.375,4.391
Bihar,cotton,75.97,57.7,77.9,7.6,418.08,31.87,1.14,1.044
Sikkim,tomato,120.71,58.34,111.09,5.9,724.95,19.74,2.659,23.958
Sikkim,rice,83.84,56.71,44.34,5.94,2010.7,31.19,0.493,5.533
Andhra Pradesh,coffee,43.23,44.22,57.77,5.93,2342.33,24.07,0.998,1.186
Assam,tomato,148.78,64.36,85,6.27,785.97,24.49,1.392,56.696
Odisha,tomato,95.77,42.12,134.62,6.1,1262.67,24.83,1.414,45.429
Nagaland,groundnut,34.74,24.35,52.61,6.61,584.04,31.89,0.729,1.409
Telangana,banana,173.61,62.73,320.55,5.68,1256.12,30.35,1.863,26.499
Rajasthan,mango,109.85,34.28,73.92,6.95,1218.2,22.76,0.973,20.183
Telangana,rice,90.19,37.11,41.02,5.06,1577.15,26.21,1.784,4.105
Sikkim,potato,166.85,40.65,168.05,5.75,1471.62,14.98,0.615,18.22
Chhattisgarh,coffee,49.15,26.61,50.64,5.84,2124.69,26.93,0.469,1.364
Bihar,maize,67.55,41.79,29.84,6.23,636.9,29.61,0.138,4.861
Arunachal Pradesh,tea,59.64,28.61,56.52,5.38,3055.22,17.36,0.472,3.088
Andhra Pradesh,millet,38.25,16.08,30.94,7.41,356.63,30.93,0.123,1.143
Bihar,wheat,90.96,32.01,34.24,7.99,285.27,16.37,0.729,2.034
Goa,banana,182.11,44.35,276.82,6.68,1263.21,27.77,0.787,32.886
Punjab,sugarcane,167.4,64.72,93.39,6.26,1168.57,24.49,1.577,78.29
Andhra Pradesh,maize,64.68,33.85,31.09,5.54,645.5,26.45,0.601,6.074
Uttarakhand,maize,89.69,41.19,46.08,6.97,576.98,32.55,0.253,2.904
Goa,rice,78.91,57.39,44.44,6.78,1593.16,25.93,1.697,6.016
Himachal Pradesh,banana,235.93,72.24,201.49,6.35,2649.76,22.24,1.007,72.721
Mizoram,tomato,85.01,58.16,129.83,6.61,619.62,26.54,3.09,34.838
Telangana,pulses,13.3,45.72,36.62,7.12,531.33,26.85,0.227,0.689
Arunachal Pradesh,maize,71.84,33.46,24.67,6.41,433.37,19.75,0.353,3.648
Himachal Pradesh,soybean,22.88,33.6,20.89,6.09,757.45,23.07,0.333,1.179
Gujarat,sugarcane,170.56,66.37,109.6,6.06,1269.43,30.08,1.03,91.513
Meghalaya,sugarcane,143.28,63.57,101.79,6.38,1489.33,20.9,1.306,75.213
Madhya Pradesh,rice,72.18,39.83,53.73,6.61,952.46,27.42,0.969,3.322
Rajasthan,soybean,51.24,57.02,21.48,6.61,552,30.06,0.187,1.349
Rajasthan,tea,54.85,38.18,37.82,5.84,2099.79,18.54,0.834,3.019
Meghalaya,groundnut,43.11,30.68,64.58,5.59,601.68,23.08,0.302,0.899
Goa,rice,89.03,43.29,35.24,6.19,929.59,30.76,0.35,3.82
Tripura,cotton,81.91,56.69,55.32,6.24,584.28,33.1,0.916,1.147
Tamil Nadu,tea,44.39,21.72,41.55,5.61,2812.91,21.99,0.532,2.566
Goa,wheat,86.07,46.86,39.55,6.89,773.53,12.18,0.811,4.896
Tripura,millet,45.84,17.29,10.82,6.35,374.84,25.38,0.119,1.804
Arunachal Pradesh,wheat,89.64,47.44,24.23,7.45,344.72,24.89,0.471,2.478
Karnataka,coffee,32.52,48.52,30.51,5.73,1263.21,24.55,0.283,1.242
Karnataka,rice,88.78,36.86,34.25,6.77,805.81,31.92,1.192,3.007
Haryana,potato,122.44,95.6,179.63,5.03,582.37,13.95,0.552,35.963
Uttar Pradesh,cotton,91.07,31.95,71.11,7.49,594.26,33.26,1.026,1.794
Assam,millet,28.72,29.38,11.22,6.44,254.4,36.07,0.234,1.266
Meghalaya,rice,108.17,40.59,41.09,5.69,1066.45,26.86,0.462,5.705
Telangana,cotton,80.96,35.15,69.42,7.5,894.96,33.89,2.168,1.457
Jharkhand,sugarcane,129.72,78.67,124.73,6.34,1464.71,26.95,2.021,88.563
Sikkim,banana,195.82,63.45,370.35,6.04,1516.17,26.01,0.53,32.465
Madhya Pradesh,groundnut,27.04,28.76,69.44,5.56,994.63,26.6,0.684,1.359
Odisha,mango,102.25,39.28,100,5.83,1137.55,31.58,0.42,26.64
Odisha,pulses,21.4,27.68,36.74,7.86,748.63,24.95,0.151,0.937
Tripura,sugarcane,127.56,87.8,94.42,7.21,1421.04,27.67,1.745,95.971
Bihar,groundnut,37.38,23.93,77.34,6.79,1128.31,23.78,0.662,1.766
Odisha,potato,150.99,63.89,107.15,5.97,1481.58,17.12,1.198,28.078
Nagaland,maize,74.01,44.4,33.03,6.21,502.27,30.37,0.426,4.814
Tripura,groundnut,42.06,33.1,63.07,5.74,558.91,27.75,0.42,1.025
Odisha,millet,29.39,14.85,36.25,6.07,254.52,31.6,0.354,1.682
Jharkhand,tea,31.43,35.22,33.26,5.23,3584.84,24.5,0.436,3.913
Sikkim,maize,64.4,20.08,33.68,7,611.05,28.5,0.714,3.57
Odisha,pulses,34.19,31.49,21.57,6.08,726.95,28.75,0.127,1.656
Odisha,pulses,11.28,39.37,15.59,7.48,857.07,29.5,0.075,1.393
Haryana,rice,87.05,34.7,58.88,5.41,1316.39,23.07,0.433,3.819
Rajasthan,millet,38.4,23.65,11.08,7.55,438.83,28.67,0.129,1.034
Nagaland,wheat,61.35,55.72,49.23,6.78,638.18,24.02,0.408,3.678
Nagaland,pulses,17.61,38.13,38.62,7,618.26,21.05,0.044,0.841
West Bengal,sugarcane,145.24,80.43,127.57,6.77,1249.73,25.08,2.236,78.314
Karnataka,mango,59.77,57.85,56.69,6.78,848.1,26.79,0.669,16.787
Madhya Pradesh,potato,144.24,65.81,160.83,5.5,1478.57,21.74,0.801,29.808
Gujarat,rice,99.74,56.79,53.21,6.12,1176.72,28.89,0.959,3.844
Chhattisgarh,soybean,55.29,40.9,30.36,6.63,665.24,29.73,0.225,1.693
Sikkim,sugarcane,137.69,57.35,127.45,6.42,1140.74,28.82,2.475,78.963
Gujarat,soybean,30.14,40.81,47.79,6.97,615.37,29.84,0.538,1.647
Maharashtra,coffee,56.21,27.81,64.76,5.69,1873.63,19.73,0.863,2.488
Odisha,pulses,32.66,29.06,29.62,6.24,378.64,19.18,0.219,0.791
Karnataka,coffee,54.85,27.91,42.35,5.77,2802.98,24.55,0.578,1.525
Uttarakhand,cotton,87.93,37.62,70.27,6.21,702.01,31.41,1.427,1.815
Mizoram,wheat,78.97,49.49,29.38,7.95,444.45,12.26,0.652,3.869
Uttar Pradesh,wheat,86.03,51.9,45.84,6.16,431.85,13.31,0.259,3.898
Uttarakhand,groundnut,34.75,32.03,61.38,6.17,532.37,31.89,0.356,2.472
Kerala,sugarcane,144.38,77.18,101.25,6.34,1152.47,24.68,2.49,79.2
West Bengal,tea,42.01,34.17,34.09,4.78,2046.28,22.28,0.912,2.114
Uttarakhand,coffee,49,37.68,43.1,5.53,1249.28,18.02,0.836,1.901
Gujarat,pulses,39.28,40.75,35.37,6.72,376.66,27.29,0.175,1.311
Telangana,tea,31.56,34.75,60,5.44,2511.38,22.27,0.905,2.283
Jharkhand,coffee,49.95,29.81,48.71,6.26,1289.61,24.74,0.853,0.809
Gujarat,coffee,46.72,37.23,59.7,5.7,1753.33,23.42,0.49,1.361
Sikkim,soybean,40.83,50.92,20.08,7.36,667.42,29.62,0.599,1.756
Chhattisgarh,coffee,43.94,31.15,57.88,6.22,1807.33,28.17,0.874,1.102
Andhra Pradesh,rice,106.9,33.88,33.44,6,1814.56,28.03,0.861,6.686
Himachal Pradesh,cotton,89.43,49.5,55.36,6.87,413.51,32.16,2.015,0.964
Assam,rice,79.27,37.53,43.75,5.28,1564.53,27.22,1.019,6.329
Uttar Pradesh,potato,193.08,92.7,199.8,5.92,720.75,22.87,1.54,12.881
Uttarakhand,pulses,39.77,35.53,29.28,7.62,422.79,28.97,0.18,0.884
Assam,cotton,97.85,44.02,98.59,6.24,945.95,32.66,1.647,1.852
Mizoram,tea,59.21,31.15,51.44,4.94,2991.64,22.87,0.542,2.423
Andhra Pradesh,maize,62.13,30.68,38.72,6.48,586.41,30.81,0.154,4.158
Gujarat,potato,162.86,71.42,157.5,5.62,1219.89,18.44,0.922,23.833
Tamil Nadu,sugarcane,169.05,57.11,111.68,6.01,1358.15,26.39,1.745,89.26
Odisha,pulses,27.86,34.33,15.6,6.4,367.16,25.8,0.062,1.131
Goa,coffee,36.09,36.21,48.02,6.22,2346.28,21.9,1.031,0.946
Meghalaya,tomato,121.08,59.18,115.57,5.71,1267.35,29.6,3.456,40.534
Nagaland,sugarcane,165.99,59.37,113.13,6.82,1874.08,27.52,2.034,109.904
Himachal Pradesh,potato,110.4,58.59,148.18,5.06,1192.7,16.68,1.39,19.094
Mizoram,millet,45.97,17.49,15.92,7.61,533.31,25.03,0.173,2.631
Tripura,soybean,39.56,54.79,25.47,6.54,448.71,25.03,0.251,1.617
Goa,coffee,31.17,43.73,39.33,6.27,1955.09,20.63,0.379,1.427
Kerala,sugarcane,168.38,84.28,128.34,6.4,1544.09,23.77,2.058,66.929
Maharashtra,soybean,54.49,52.97,36.53,6.44,764.2,20.04,0.549,2.87
West Bengal,coffee,50.74,20.86,59.82,5.54,1247.39,24.78,1.008,0.869
Arunachal Pradesh,groundnut,28.33,27.23,49.79,7.26,646.5,27.87,0.098,1.398
Madhya Pradesh,tomato,112.72,57.83,142.45,6.4,986.36,26.48,1.377,50.172
Assam,mango,62.71,58.68,138.68,6.35,1197.03,29.94,0.721,11.722
Mizoram,sugarcane,131.07,65.41,90.1,6.39,1300.51,29.32,2.237,107.686
Bihar,cotton,65.55,42.69,85.78,6.35,788.61,26.51,1.306,0.999
Punjab,banana,225.1,43.12,393.28,6.48,1526.77,21.69,1.399,53.052
Kerala,groundnut,44.63,30.31,60.57,6.83,792.85,28.38,0.128,2.622
Madhya Pradesh,soybean,42.83,57.17,22.99,6.11,500.99,21.14,0.18,1.614
Tamil Nadu,banana,226.37,62.4,292.57,5.55,2412.36,30.1,1.703,58.811
Assam,groundnut,31.62,36.06,66.52,5.63,622.99,25.18,0.5,1.581
Meghalaya,potato,163.84,68.08,107.58,5.26,1110.14,16.52,0.69,37.664
Karnataka,coffee,61.16,34.96,43.89,6.22,1938.78,18.86,0.301,1.086
Tripura,millet,35.14,21.53,20.05,6.46,245.54,28.34,0.224,0.836
Karnataka,soybean,20.67,32.47,25.17,6.47,862.02,29.64,0.509,2.363
Jharkhand,groundnut,43.86,27.4,60.41,6.65,520.68,23.07,0.125,2.676
Gujarat,groundnut,25.09,21.22,55.13,6.69,781.33,29.25,0.667,3.543
Karnataka,pulses,21.93,31.09,37.19,7.5,399.01,22.56,0.194,1.563
Sikkim,potato,144.28,60.93,108.17,6.43,590.75,17.87,0.668,30.981
Arunachal Pradesh,rice,78.17,36.89,52.63,6.74,1483.56,32.06,0.334,3.277
Kerala,tea,38.96,20.44,44,5.49,2150.57,15,0.735,3.071
Himachal Pradesh,maize,78.58,44.74,49.64,5.97,408.2,25.46,0.405,3.165
Rajasthan,tea,54.11,39.25,58.92,5.51,2784.05,21.41,0.473,3.63
Arunachal Pradesh,groundnut,29.95,38.91,40.48,6.24,867.48,29.9,0.29,2.19
Jharkhand,banana,190.54,44.92,264.7,6.47,1524.22,25.28,2.536,31.885
Madhya Pradesh,mango,58.32,53.31,56.7,6.56,795.46,26.69,0.838,10.895
Telangana,sugarcane,172.64,82.13,93.71,6.42,1487.35,29.93,2.31,71.498
Uttarakhand,millet,37.17,25.52,15.81,6.23,290.61,34.17,0.111,1.377
Himachal Pradesh,millet,21.52,17.2,34.01,6.58,406.37,34.41,0.2,0.985
Uttar Pradesh,tomato,137.09,66.43,128.84,5.8,1007.37,23.74,2.123,72.704
Goa,soybean,47.79,36.46,47.13,6.33,528.54,28.08,0.32,1.656
Manipur,tea,47.7,30.81,42.15,4.54,2385.71,17.07,0.216,2.637
Assam,groundnut,33.49,37.21,70.14,7.38,602.37,31.51,0.358,2.129
Bihar,wheat,85.7,54.42,42.39,6.42,710.8,20.94,0.608,4.734
Himachal Pradesh,wheat,85.42,31.29,39.81,7.76,689.36,21.03,0.344,2.622
Punjab,banana,186.9,59.95,217.68,5.88,1705.27,21.2,0.476,22.55
Sikkim,soybean,47.69,47.01,37.33,6.62,806.15,22.1,0.514,1.816
Arunachal Pradesh,mango,64.05,53.14,53.47,5.67,794.24,20.83,0.513,12.296
Rajasthan,sugarcane,122.81,77.39,91.31,6.94,905.35,21.81,2.715,73.559
Sikkim,millet,33.8,16.31,19.49,7.65,579.69,33.6,0.087,1.253
Sikkim,sugarcane,126.1,54.98,104.48,6.73,1553.04,20.74,2.304,87.717
Arunachal Pradesh,maize,77.07,46.27,48.46,5.66,663.3,22.08,0.541,3.888
Punjab,potato,141.61,93.51,180.66,6.06,1123.47,23.76,1.196,21.23
West Bengal,groundnut,39.07,32.25,65.58,6.99,779.79,21.29,0.659,2.523
Chhattisgarh,rice,80.97,37.16,50.2,6.84,1312.82,22.47,0.563,5.838
Goa,maize,67.65,46.61,28.04,6.56,808.12,23.34,0.671,3.81
Uttarakhand,mango,55.77,40.51,104.14,6.29,1113.23,30.21,0.338,23.141
Haryana,wheat,60.56,54.4,36.41,6.34,705.6,22.68,0.277,2.601
Tamil Nadu,rice,78.51,43.9,39.24,6.54,1251.68,25,0.713,4.182
Uttarakhand,rice,94.48,46.16,54.71,6.44,1426.75,29.81,0.455,4.915
Odisha,banana,161.76,75.84,217.42,6.88,2415.83,25.98,0.78,32.206
Karnataka,maize,88.82,23.44,23.16,5.92,571.89,21.32,0.417,5.633
Mizoram,potato,191.28,58.23,116.74,5.97,585.05,15.58,0.654,18.373
Sikkim,potato,148.45,76.98,236.55,5.49,1114.3,14.14,1.127,39.475
Mizoram,maize,55.94,20.82,24.62,7.31,866.02,27.37,0.134,5.101
Odisha,mango,111.64,54.67,91.39,6.88,870.08,21.17,0.62,16.722
Mizoram,banana,199.82,92.27,208.72,6.91,1372.32,25.55,0.822,29.019
Maharashtra,mango,72.95,51.46,86.9,6.1,888.95,31.41,1.085,18.241
Karnataka,soybean,26.33,37.92,46.76,6.5,582.43,23.26,0.515,1.602
Gujarat,tea,38.26,30.92,44.88,5.49,2448.47,21.64,0.554,3.144
Karnataka,soybean,41.34,31.26,22.74,6.5,749.53,25.01,0.226,1.446
Andhra Pradesh,banana,247.87,86.3,360.58,6.36,1184.41,27.84,1.661,24.765
Andhra Pradesh,millet,42.66,17.54,31.99,6.23,225.64,32.76,0.079,0.642
Assam,pulses,12.19,49.77,25.64,6.67,831.06,25.02,0.12,1.765
Jharkhand,mango,66.86,43.48,74.15,5.89,1176.75,24.68,0.886,16.966
Mizoram,millet,36.23,17.96,23.26,7.2,222.45,31.53,0.173,0.806
Uttar Pradesh,soybean,27.52,59.9,45.38,6.84,652.15,22.03,0.598,2.174
Haryana,groundnut,28.86,29.49,68.16,7.08,945.32,26.71,0.318,2.361
Uttar Pradesh,wheat,60.74,35.92,20.66,7.48,693.4,23.08,0.368,5.184
Himachal Pradesh,mango,61.45,44.21,127.44,7.12,1207.18,22.75,0.495,13.714
Mizoram,banana,232.56,83.83,374.14,5.82,1557.54,23.03,1.933,32.529
Goa,pulses,11.24,32.36,13.96,7.49,357.54,27.59,0.154,1.426
Telangana,cotton,91.28,46.22,42.76,6.33,872.63,29.73,0.683,2.148
Chhattisgarh,tomato,94.55,51.23,94.47,5.83,803.6,23.48,3.067,42.723
Jharkhand,millet,28.11,14.39,33.54,6.97,538.24,34.65,0.187,2.025
Arunachal Pradesh,cotton,96.42,39.68,70.84,7.31,607.34,32.78,2.037,1.808
Sikkim,maize,60.69,24.98,37.31,6.24,797.83,19.73,0.491,6.254
Karnataka,mango,75.73,24.59,128.61,6.58,1648.24,23.87,0.48,15.724
Haryana,pulses,37.89,36.94,31.44,6.84,876.4,30.7,0.023,1.556
Meghalaya,coffee,55.09,30.35,50.42,6.39,2730.11,26.62,0.607,1.566
Maharashtra,banana,190.18,79.39,208.05,6.23,2163.52,20.42,0.774,31.719
Gujarat,sugarcane,129.26,85.41,117.85,6.03,841.84,23.22,1.406,64.227
